Course Title,Instructors,Course Subject,Total Course Hours (Thousands),Course_Level,Pre_Requirement,Course_Price,Placement_Opportunity,Course_Relevancy,Expected_Package,EMI_Available,Financial_Aid,Offer_Certificate,soup
Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",11.95,Advanced,No Prerequisite,475.0,No,2015,9,No,Yes,Yes,"""Title"": Entrepreneurship 102: What Can You Do For Your Customer?, ""Level"": Advanced, ""Price"": 475.0, ""Duration"": 11.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",13.23,Advanced,No Prerequisite,0.0,Yes,2015,22,No,Yes,Yes,"""Title"": Innovating in Health Care, ""Level"": Advanced, ""Price"": Free, ""Duration"": 13.23, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Poetry in America: The Civil War and Its Aftermath,Elisa New,"Humanities, History, Design, Religion, and Education",7.49,Advanced,No Prerequisite,0.0,Yes,2015,5,No,No,Yes,"""Title"": Poetry in America: The Civil War and Its Aftermath, ""Level"": Advanced, ""Price"": Free, ""Duration"": 7.49, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 5 to 6 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,"Humanities, History, Design, Religion, and Education",20.03,Advanced,No Prerequisite,0.0,No,2015,21,No,Yes,Yes,"""Title"": Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching, ""Level"": Advanced, ""Price"": Free, ""Duration"": 20.03, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",344.95,Advanced,No Prerequisite,275.0,Yes,2015,21,Yes,No,Yes,"""Title"": Supply Chain and Logistics Fundamentals, ""Level"": Advanced, ""Price"": 275.0, ""Duration"": 344.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",67.6,Beginner,No Prerequisite,275.0,Yes,2015,9,No,Yes,Yes,"""Title"": Advanced Introductory Classical Mechanics, ""Level"": Beginner, ""Price"": 275.0, ""Duration"": 67.6, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
User Innovation: A Path to Entrepreneurship,Eric von Hippel,"Government, Health, and Social Science",69.95,Advanced,No Prerequisite,975.0,Yes,2015,23,Yes,No,Yes,"""Title"": User Innovation: A Path to Entrepreneurship, ""Level"": Advanced, ""Price"": 975.0, ""Duration"": 69.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Calculus: Differentiation,David Jerison,"Science, Technology, Engineering, and Mathematics",218.27,Advanced,No Prerequisite,0.0,No,2015,14,No,Yes,Yes,"""Title"": Calculus: Differentiation, ""Level"": Advanced, ""Price"": Free, ""Duration"": 218.27, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 14 to 15 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",547.35,Advanced,No Prerequisite,325.0,Yes,2015,25,Yes,Yes,Yes,"""Title"": The Analytics Edge, ""Level"": Advanced, ""Price"": 325.0, ""Duration"": 547.35, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Paradox and Infinity,Augustin Rayo,"Humanities, History, Design, Religion, and Education",83.98,Advanced,No Prerequisite,0.0,No,2015,3,No,No,Yes,"""Title"": Paradox and Infinity, ""Level"": Advanced, ""Price"": Free, ""Duration"": 83.98, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,895.01,Advanced,No Prerequisite,0.0,Yes,2015,7,No,No,Yes,"""Title"": Introduction to Computer Science and Programming, ""Level"": Advanced, ""Price"": Free, ""Duration"": 895.01, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Felice Frankel,"Science, Technology, Engineering, and Mathematics",15.61,Advanced,No Prerequisite,0.0,No,2015,16,No,Yes,Yes,"""Title"": Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work, ""Level"": Advanced, ""Price"": Free, ""Duration"": 15.61, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Principles of Biochemistry,"Alain Viel, Rachelle Gaudet","Science, Technology, Engineering, and Mathematics",90.12,Advanced,No Prerequisite,525.0,Yes,2015,12,Yes,No,Yes,"""Title"": Principles of Biochemistry, ""Level"": Advanced, ""Price"": 525.0, ""Duration"": 90.12, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",67.71,Advanced,No Prerequisite,0.0,No,2015,5,No,Yes,Yes,"""Title"": Science and Cooking: From Haute Cuisine to Soft Matter Science, ""Level"": Advanced, ""Price"": Free, ""Duration"": 67.71, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 5 to 6 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Stacy Springs","Government, Health, and Social Science",41.5,Advanced,No Prerequisite,0.0,No,2015,4,No,Yes,Yes,"""Title"": Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing, ""Level"": Advanced, ""Price"": Free, ""Duration"": 41.5, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Implementation and Evaluation of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",11.99,Advanced,No Prerequisite,0.0,Yes,2015,15,No,Yes,Yes,"""Title"": Implementation and Evaluation of Educational Technology, ""Level"": Advanced, ""Price"": Free, ""Duration"": 11.99, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",43.57,Advanced,No Prerequisite,0.0,No,2015,18,No,No,Yes,"""Title"": Molecular Biology: DNA Replication and Repair, ""Level"": Advanced, ""Price"": Free, ""Duration"": 43.57, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 18 to 19 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",10.93,Advanced,No Prerequisite,0.0,Yes,2015,25,No,No,Yes,"""Title"": Tangible Things, ""Level"": Advanced, ""Price"": Free, ""Duration"": 10.93, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,567.96,Advanced,No Prerequisite,0.0,Yes,2015,4,No,No,Yes,"""Title"": Introduction to Computer Science and Programming Using Python, ""Level"": Advanced, ""Price"": Free, ""Duration"": 567.96, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Wachman",Computer Science,97.06,Advanced,No Prerequisite,225.0,Yes,2015,15,No,Yes,Yes,"""Title"": Computation Structures: Digital Circuits, ""Level"": Advanced, ""Price"": 225.0, ""Duration"": 97.06, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Introduction to American Government,Thomas Patterson,"Government, Health, and Social Science",63.24,Advanced,No Prerequisite,900.0,No,2015,8,No,Yes,Yes,"""Title"": Introduction to American Government, ""Level"": Advanced, ""Price"": 900.0, ""Duration"": 63.24, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",41.98,Advanced,No Prerequisite,600.0,Yes,2015,9,Yes,Yes,Yes,"""Title"": Introduction to Solid State Chemistry, ""Level"": Advanced, ""Price"": 600.0, ""Duration"": 41.98, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Mechanical Behavior of Materials: Linear Elastic Behavior,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",40.32,Advanced,No Prerequisite,650.0,No,2015,4,No,No,Yes,"""Title"": Mechanical Behavior of Materials: Linear Elastic Behavior, ""Level"": Advanced, ""Price"": 650.0, ""Duration"": 40.32, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",166.11,Advanced,No Prerequisite,0.0,Yes,2015,13,No,Yes,Yes,"""Title"": Transforming Business, Society, and Self, ""Level"": Advanced, ""Price"": Free, ""Duration"": 166.11, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",11.83,Advanced,No Prerequisite,0.0,No,2015,9,No,No,Yes,"""Title"": Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity, ""Level"": Advanced, ""Price"": Free, ""Duration"": 11.83, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
History of the Book: Making and Meaning in the Medieval Manuscript,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",11.11,Advanced,No Prerequisite,0.0,No,2015,9,No,No,Yes,"""Title"": History of the Book: Making and Meaning in the Medieval Manuscript, ""Level"": Advanced, ""Price"": Free, ""Duration"": 11.11, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
History of the Book: Scrolls in the Age of the Book,Tom Kelly,"Humanities, History, Design, Religion, and Education",4.95,Advanced,No Prerequisite,975.0,Yes,2015,9,No,No,Yes,"""Title"": History of the Book: Scrolls in the Age of the Book, ""Level"": Advanced, ""Price"": 975.0, ""Duration"": 4.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"History of the Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650)",Ann Blair,"Humanities, History, Design, Religion, and Education",4.39,Advanced,No Prerequisite,575.0,No,2015,9,No,No,Yes,"""Title"": History of the Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650), ""Level"": Advanced, ""Price"": 575.0, ""Duration"": 4.39, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
History of the Book: The History of the Book in the 17th and 18th Century Europe,Robert Darnton,"Humanities, History, Design, Religion, and Education",5.71,Advanced,No Prerequisite,650.0,No,2015,14,Yes,No,Yes,"""Title"": History of the Book: The History of the Book in the 17th and 18th Century Europe, ""Level"": Advanced, ""Price"": 650.0, ""Duration"": 5.71, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 14 to 15 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
History of the Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public,Leah Price,"Humanities, History, Design, Religion, and Education",3.35,Advanced,No Prerequisite,525.0,Yes,2015,21,No,Yes,Yes,"""Title"": History of the Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public, ""Level"": Advanced, ""Price"": 525.0, ""Duration"": 3.35, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"History of the Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",Dan Smail,"Humanities, History, Design, Religion, and Education",6.13,Advanced,No Prerequisite,0.0,No,2015,24,No,Yes,Yes,"""Title"": History of the Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive, ""Level"": Advanced, ""Price"": Free, ""Duration"": 6.13, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"History of the Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script",Beverly Kienzle,"Humanities, History, Design, Religion, and Education",3.49,Advanced,No Prerequisite,250.0,No,2015,21,No,Yes,Yes,"""Title"": History of the Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script, ""Level"": Advanced, ""Price"": 250.0, ""Duration"": 3.49, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
History of the Book: The Medieval Book of Hours: Art and Devotion in the Later Middle Ages,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",6.93,Advanced,No Prerequisite,125.0,No,2015,21,No,Yes,Yes,"""Title"": History of the Book: The Medieval Book of Hours: Art and Devotion in the Later Middle Ages, ""Level"": Advanced, ""Price"": 125.0, ""Duration"": 6.93, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
History of the Book: Books in the Medieval Liturgy,Tom Kelly,"Humanities, History, Design, Religion, and Education",4.51,Advanced,No Prerequisite,0.0,No,2015,22,No,No,Yes,"""Title"": History of the Book: Books in the Medieval Liturgy, ""Level"": Advanced, ""Price"": Free, ""Duration"": 4.51, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Foundations of Development Policy: Advanced Development Economics,"Abhijit Vinayak Banerjee, Esther Duflo, Benjamin Olken","Government, Health, and Social Science",77.46,Advanced,No Prerequisite,200.0,No,2015,5,No,No,Yes,"""Title"": Foundations of Development Policy: Advanced Development Economics, ""Level"": Advanced, ""Price"": 200.0, ""Duration"": 77.46, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 5 to 6 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Atomic and Optical Physics: Resonance,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",18.64,Advanced,No Prerequisite,475.0,Yes,2015,15,No,No,Yes,"""Title"": Atomic and Optical Physics: Resonance, ""Level"": Advanced, ""Price"": 475.0, ""Duration"": 18.64, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",77.42,Advanced,No Prerequisite,950.0,Yes,2015,12,No,Yes,Yes,"""Title"": A Global History of Architecture, ""Level"": Advanced, ""Price"": 950.0, ""Duration"": 77.42, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Aerodynamics,David L. Darmofal,"Science, Technology, Engineering, and Mathematics",51.1,Advanced,No Prerequisite,150.0,No,2015,22,Yes,Yes,Yes,"""Title"": Introduction to Aerodynamics, ""Level"": Advanced, ""Price"": 150.0, ""Duration"": 51.1, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",174.06,Advanced,No Prerequisite,0.0,No,2015,11,No,No,Yes,"""Title"": Circuits and Electronics: Basic Circuit Analysis, ""Level"": Advanced, ""Price"": Free, ""Duration"": 174.06, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",28.65,Advanced,No Prerequisite,0.0,No,2015,8,No,Yes,Yes,"""Title"": Circuits and Electronics: Amplification, Speed, and Delay, ""Level"": Advanced, ""Price"": Free, ""Duration"": 28.65, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Circuits and Electronics: Applications,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",17.95,Advanced,No Prerequisite,0.0,No,2015,23,No,Yes,Yes,"""Title"": Circuits and Electronics: Applications, ""Level"": Advanced, ""Price"": Free, ""Duration"": 17.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Supply Chain Design,"Chris Caplice, Yossi Sheffi, James Blayney Rice Jr., Jarrod Goentzel","Government, Health, and Social Science",316.74,Advanced,No Prerequisite,425.0,Yes,2015,24,Yes,Yes,Yes,"""Title"": Supply Chain Design, ""Level"": Advanced, ""Price"": 425.0, ""Duration"": 316.74, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",8.08,Advanced,No Prerequisite,350.0,No,2015,14,Yes,No,Yes,"""Title"": Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education, ""Level"": Advanced, ""Price"": 350.0, ""Duration"": 8.08, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 14 to 15 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Saving Schools: History, Politics, and Policy of U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",1.85,Advanced,No Prerequisite,950.0,Yes,2015,4,Yes,Yes,Yes,"""Title"": Saving Schools: History, Politics, and Policy of U.S. Education – Teacher Policies, ""Level"": Advanced, ""Price"": 950.0, ""Duration"": 1.85, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education",1.18,Advanced,No Prerequisite,275.0,Yes,2015,14,No,No,Yes,"""Title"": Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards, ""Level"": Advanced, ""Price"": 275.0, ""Duration"": 1.18, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 14 to 15 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
